GROUP,TIME,COMPONENT,%WGT,%VOL,%MOL,AREA,DEN,RRF,BPC,BPF,sample_id
I-PARAFFINS,69.337,i11-[11],0.036,0.036,0.02,1423.0,0.74,0.993,0.0,32.0,42911
I-PARAFFINS,70.0,i11-[13],0.006,0.006,0.004,253.0,0.74,0.993,0.0,32.0,42911
I-PARAFFINS,70.387,i11-[14],0.145,0.145,0.084,5813.0,0.74,0.993,150.0,302.0,42911
I-PARAFFINS,70.525,i11-[17],0.031,0.031,0.018,1240.0,0.74,0.993,0.0,32.0,42911
I-PARAFFINS,70.607,i11-[18],0.015,0.015,0.009,606.0,0.74,0.993,0.0,32.0,42911
I-PARAFFINS,70.78,i11-[20],0.012,0.012,0.007,479.0,0.74,0.993,0.0,32.0,42911
I-PARAFFINS,71.133,i11-[21],0.023,0.023,0.013,914.0,0.74,0.993,150.0,302.0,42911
I-PARAFFINS,71.175,i11-[22],0.01,0.01,0.006,400.0,0.74,0.993,0.0,32.0,42911
I-PARAFFINS,71.282,i11-[23],0.008,0.008,0.005,331.0,0.74,0.993,0.0,32.0,42911
I-PARAFFINS,71.723,i11-[25],0.068,0.068,0.039,2716.0,0.74,0.993,0.0,32.0,42911
I-PARAFFINS,71.825,i11-[26],0.044,0.044,0.025,1747.0,0.74,0.993,150.0,302.0,42911
I-PARAFFINS,72.145,i11-[27],0.002,0.002,0.001,74.0,0.74,0.993,0.0,32.0,42911
I-PARAFFINS,72.3,i11-[28],0.011,0.011,0.006,426.0,0.74,0.993,150.0,302.0,42911
I-PARAFFINS,72.37,i11-[29],0.005,0.005,0.003,197.0,0.74,0.993,0.0,32.0,42911
I-PARAFFINS,72.972,i12-[1],0.041,0.041,0.022,1658.0,0.753,0.992,150.0,302.0,42911
I-PARAFFINS,73.848,i12-[5],0.044,0.043,0.023,1769.0,0.753,0.992,150.0,302.0,42911
I-PARAFFINS,73.925,i12-[6],0.003,0.003,0.002,135.0,0.753,0.992,150.0,302.0,42911
I-PARAFFINS,74.013,i12-[7],0.004,0.004,0.002,151.0,0.753,0.992,150.0,302.0,42911
I-PARAFFINS,74.382,i12-[10],0.437,0.43,0.231,17531.0,0.753,0.992,216.3,421.34,42911
I-PARAFFINS,75.565,i12-[14],0.005,0.005,0.003,200.0,0.753,0.992,150.0,302.0,42911
I-PARAFFINS,75.878,i12-[17],0.004,0.004,0.002,161.0,0.753,0.992,150.0,302.0,42911
I-PARAFFINS,75.94,i12-[18],0.016,0.016,0.009,646.0,0.753,0.992,150.0,302.0,42911
I-PARAFFINS,76.233,i12-[19],0.033,0.032,0.017,1317.0,0.753,0.992,150.0,302.0,42911
I-PARAFFINS,76.428,i12-[20],0.027,0.027,0.014,1100.0,0.753,0.992,216.3,421.34,42911
I-PARAFFINS,76.462,i12-[21],0.007,0.007,0.004,294.0,0.753,0.992,150.0,302.0,42911
I-PARAFFINS,76.542,i12-[23],0.006,0.006,0.003,256.0,0.753,0.992,216.3,421.34,42911
I-PARAFFINS,76.722,i12-[25],0.007,0.007,0.004,287.0,0.753,0.992,150.0,302.0,42911
I-PARAFFINS,76.827,i12-[26],0.065,0.064,0.034,2598.0,0.753,0.992,150.0,302.0,42911
I-PARAFFINS,77.665,i13-[1],0.003,0.003,0.001,110.0,0.756,0.991,150.0,302.0,42911
I-PARAFFINS,79.193,i13-[4],0.001,0.001,0.001,50.0,0.756,0.991,235.0,455.0,42911
I-PARAFFINS,79.305,i13-[5],0.003,0.003,0.001,110.0,0.756,0.991,150.0,302.0,42911
I-PARAFFINS,79.712,i14-[0],0.004,0.004,0.002,164.0,0.756,0.991,235.0,455.0,42911
I-PARAFFINS,79.755,i14-[1],0.005,0.004,0.003,192.0,0.9,0.945,216.0,420.8,42911
I-PARAFFINS,79.885,i14-[3],0.008,0.008,0.004,314.0,0.756,0.991,235.4,455.72,42911
I-PARAFFINS,79.95,i14-[4],0.003,0.003,0.001,114.0,0.756,0.991,235.0,455.0,42911
I-PARAFFINS,80.157,i14-[6],0.011,0.011,0.005,453.0,0.762,0.99,235.0,455.0,42911
I-PARAFFINS,80.312,i14-[8],0.002,0.002,0.001,97.0,0.762,0.99,235.0,455.0,42911
I-PARAFFINS,80.412,i14-[9],0.003,0.003,0.001,104.0,0.762,0.99,235.0,455.0,42911
I-PARAFFINS,80.852,i14-[13],0.002,0.002,0.001,74.0,0.762,0.99,244.0,471.2,42911
I-PARAFFINS,81.65,i14-[16],0.006,0.006,0.003,250.0,0.762,0.99,244.0,471.2,42911
I-PARAFFINS,82.063,i14-[18],0.004,0.004,0.002,167.0,0.762,0.99,244.0,471.2,42911
I-PARAFFINS,82.233,i15-[0],0.011,0.01,0.004,468.0,0.813,0.899,244.0,471.2,42911
I-PARAFFINS,83.06,i15-[5],0.001,0.001,0.0,34.0,0.813,0.899,244.0,471.2,42911
I-PARAFFINS,83.293,i15-[7],0.002,0.002,0.001,79.0,0.813,0.899,244.0,471.2,42911
I-PARAFFINS,86.463,i16-[21],0.003,0.002,0.001,118.0,0.813,0.898,267.0,512.6,42911
I-PARAFFINS,86.767,i16-[25],0.005,0.004,0.002,200.0,0.813,0.898,267.0,512.6,42911
I-PARAFFINS,87.357,i17-[2],0.008,0.007,0.003,365.0,0.813,0.897,275.0,527.0,42911
I-PARAFFINS,87.455,i17-[3],0.009,0.008,0.003,385.0,0.813,0.897,275.0,527.0,42911
I-PARAFFINS,88.347,i17-[10],0.007,0.007,0.003,330.0,0.813,0.897,275.0,527.0,42911
I-PARAFFINS,88.953,i17-[16],0.005,0.004,0.002,214.0,0.813,0.897,275.0,527.0,42911
I-PARAFFINS,90.062,i18-[8],0.001,0.001,0.0,58.0,0.813,0.896,275.0,527.0,42911
AROMATICS,21.898,benzene,0.622,0.523,0.716,27155.0,0.879,0.91,80.09,176.162,42911
AROMATICS,33.978,toluene,6.571,5.604,6.414,283930.0,0.867,0.92,110.63,231.134,42911
AROMATICS,51.333,ethylbenzene,1.044,0.891,0.885,44783.0,0.867,0.927,136.2,277.16,42911
AROMATICS,52.493,m-xylene,2.523,2.159,2.138,108197.0,0.864,0.927,139.12,282.416,42911
AROMATICS,52.632,p-xylene,1.146,0.984,0.971,49149.0,0.861,0.927,138.36,281.048,42911
AROMATICS,55.252,o-xylene,0.945,0.794,0.8,40512.0,0.88,0.927,144.43,291.974,42911
AROMATICS,58.842,i-propylbenzene,0.046,0.04,0.035,1969.0,0.862,0.933,152.41,306.338,42911
AROMATICS,61.608,n-propylbenzene,0.4,0.343,0.299,17046.0,0.862,0.933,159.24,318.632,42911
AROMATICS,62.285,"1,3-methylethylbenzene",1.461,1.25,1.093,62257.0,0.864,0.933,161.33,322.394,42911
AROMATICS,62.45,"1,4-methylethylbenzene",0.669,0.575,0.501,28520.0,0.861,0.933,162.01,323.618,42911
AROMATICS,62.937,"1,3,5-trimethylbenzene",0.798,0.682,0.597,34008.0,0.865,0.933,164.74,328.532,42911
AROMATICS,63.758,"1,2-methylethylbenzene",0.534,0.449,0.4,22773.0,0.881,0.933,165.18,329.324,42911
AROMATICS,64.815,t-butylbenzene,0.031,0.026,0.023,1311.0,0.867,0.933,183.4,362.12,42911
AROMATICS,64.958,"1,2,4-trimethylbenzene",2.661,2.247,1.992,113400.0,0.876,0.933,169.38,336.884,42911
AROMATICS,66.15,i-butylbenzene,0.08,0.069,0.054,3387.0,0.853,0.938,172.79,343.022,42911
AROMATICS,67.057,"1,2,3-trimethylbenzene",0.497,0.411,0.372,21188.0,0.894,0.933,176.12,349.016,42911
AROMATICS,67.143,"1,3-methyl-i-propylbenzene",0.073,0.063,0.049,3086.0,0.861,0.938,175.08,347.144,42911
AROMATICS,67.382,"1,4-methyl-i-propylbenzene",0.031,0.027,0.021,1316.0,0.857,0.938,177.13,350.834,42911
AROMATICS,67.898,2-3-dihydroindene,0.209,0.16,0.159,9051.0,0.964,0.918,177.85,352.13,42911
AROMATICS,68.298,"1,2-methyl-i-propylbenzene",0.267,0.225,0.179,11314.0,0.877,0.938,178.18,352.724,42911
AROMATICS,69.23,"1,3-methyl-n-propylbenzene",0.285,0.245,0.191,12080.0,0.861,0.938,182.01,359.618,42911
AROMATICS,69.387,"1,4-diethylbenzene",0.007,0.006,0.005,289.0,0.862,0.938,183.79,362.822,42911
AROMATICS,69.492,"1,4-methyl-n-propylbenzene",0.151,0.13,0.101,6418.0,0.858,0.938,183.42,362.156,42911
AROMATICS,69.565,n-butylbenzene,0.074,0.064,0.05,3151.0,0.861,0.938,183.3,361.94,42911
AROMATICS,69.682,"1,3-dimethyl-5-ethylbenzene",0.275,0.231,0.185,11674.0,0.88,0.938,183.62,362.516,42911
AROMATICS,69.875,"1,2-diethylbenzene",0.02,0.017,0.014,854.0,0.88,0.938,183.46,362.228,42911
AROMATICS,70.932,"1,4,dimethyl-2-ethylbenzene",0.254,0.214,0.17,10761.0,0.877,0.938,186.87,368.366,42911
AROMATICS,71.055,"1,3-dimethyl-4-ethylbenzene",0.192,0.165,0.128,8118.0,0.859,0.938,188.24,370.832,42911
AROMATICS,71.435,"1,2-dimethyl-4-ethylbenzene",0.43,0.363,0.288,18213.0,0.874,0.938,189.52,373.136,42911
AROMATICS,71.667,(1-ethylpropyl)benzene,0.004,0.004,0.003,188.0,0.89,0.942,196.0,384.8,42911
AROMATICS,72.028,"1,4-methyl-t-butylbenzene",0.007,0.006,0.004,312.0,0.85,0.942,0.0,32.0,42911
AROMATICS,72.49,s-pentylbenzene,0.073,0.061,0.044,3075.0,0.89,0.942,205.0,401.0,42911
AROMATICS,72.64,"1,2-dimethyl-3-ethylbenzene",0.2,0.165,0.134,8456.0,0.892,0.938,193.95,381.11,42911
AROMATICS,72.748,"1,2-ethyl-i-propylbenzene",0.01,0.008,0.006,425.0,0.89,0.942,0.0,32.0,42911
AROMATICS,72.933,"1,4-ethyl-i-propylbenzene",0.004,0.004,0.003,186.0,0.89,0.942,0.0,32.0,42911
AROMATICS,73.17,"3,5-dimethylcumene",0.023,0.019,0.014,970.0,0.89,0.942,196.0,384.8,42911
AROMATICS,73.282,"1,2,4,5-tetramethylbenzene",0.641,0.534,0.43,27167.0,0.887,0.938,196.84,386.312,42911
AROMATICS,73.403,"1,2-methyl-n-butylbenzene",0.022,0.018,0.013,927.0,0.89,0.942,199.0,390.2,42911
AROMATICS,73.473,"1,2,3,5-tetramethylbenzene",0.986,0.819,0.661,41795.0,0.89,0.938,198.04,388.472,42911
AROMATICS,73.61,i-pentylbenzene,0.029,0.024,0.017,1217.0,0.89,0.942,205.0,401.0,42911
AROMATICS,74.058,a11-[5],0.008,0.007,0.005,347.0,0.89,0.942,196.0,384.8,42911
AROMATICS,74.085,"1,2-methyl-t-butylbenzene",0.006,0.005,0.003,237.0,0.89,0.942,0.0,32.0,42911
AROMATICS,74.302,5-methylindan,0.139,0.116,0.095,5900.0,0.89,0.938,0.0,32.0,42911
AROMATICS,74.502,a11-[7],0.013,0.011,0.008,536.0,0.89,0.942,196.0,384.8,42911
AROMATICS,74.54,4-methylindan,0.135,0.112,0.092,5705.0,0.89,0.938,0.0,32.0,42911
AROMATICS,74.62,"3,4-dimethylcumene",0.013,0.011,0.008,563.0,0.89,0.942,196.0,384.8,42911
AROMATICS,74.67,"1,2-ethyl-n-propylbenzene",0.213,0.177,0.129,8994.0,0.89,0.942,0.0,32.0,42911
AROMATICS,74.892,2-methylindan,0.586,0.48,0.399,24839.0,0.903,0.938,187.0,368.6,42911
AROMATICS,75.052,"1,2,3,4-tetramethylbenzene",0.629,0.524,0.422,26677.0,0.887,0.938,196.8,386.24,42911
AROMATICS,75.238,n-pentylbenzene,0.046,0.038,0.028,1930.0,0.89,0.942,205.4,401.72,42911
AROMATICS,75.448,"1,2-di-i-propylbenzene",0.177,0.147,0.098,7433.0,0.89,0.945,204.0,399.2,42911
AROMATICS,75.492,a11-[13],0.101,0.084,0.062,4276.0,0.89,0.942,196.0,384.8,42911
AROMATICS,75.655,"2,6-dimethylcumene",0.13,0.108,0.079,5474.0,0.89,0.942,196.0,384.8,42911
AROMATICS,75.742,"1,4-di-i-propylbenzene",0.18,0.15,0.1,7592.0,0.89,0.945,210.3,410.54,42911
AROMATICS,76.042,"1-t-butyl-3,5-dimethylbenzene",0.255,0.212,0.142,10740.0,0.89,0.945,0.0,32.0,42911
AROMATICS,76.307,naphthalene,0.337,0.243,0.236,14944.0,1.025,0.896,217.99,424.382,42911
AROMATICS,76.605,"1,3-di-n-propylbenzene",0.085,0.07,0.047,3563.0,0.89,0.945,0.0,32.0,42911
AROMATICS,76.695,"(1,2-dimethylpropyl)benzene",0.029,0.024,0.018,1243.0,0.89,0.942,205.0,401.0,42911
AROMATICS,77.03,"2-ethyl-1,3,5-trimethylbenzene",0.217,0.18,0.131,9143.0,0.89,0.942,205.0,401.0,42911
AROMATICS,77.107,"1,2,5-trimethyl-3-ethylbenzene",0.117,0.097,0.071,4933.0,0.89,0.942,205.0,401.0,42911
AROMATICS,77.467,a11-[24],0.068,0.057,0.041,2878.0,0.89,0.942,196.0,384.8,42911
AROMATICS,77.78,a11-[26],0.006,0.005,0.003,240.0,0.89,0.942,196.0,384.8,42911
AROMATICS,77.855,"3-ethyl-1,2,4-trimethylbenzene",0.011,0.009,0.007,461.0,0.89,0.942,205.0,401.0,42911
AROMATICS,77.94,a11-[28],0.002,0.002,0.001,92.0,0.89,0.942,196.0,384.8,42911
AROMATICS,78.088,a12-[5],0.018,0.015,0.01,763.0,0.9,0.945,216.0,420.8,42911
AROMATICS,78.377,a12-[9],0.009,0.007,0.005,381.0,0.9,0.945,216.0,420.8,42911
AROMATICS,78.463,"1,2,3-trimethyl-4-ethylbenzene",0.017,0.014,0.01,713.0,0.89,0.942,205.0,401.0,42911
AROMATICS,78.733,a12-[13],0.003,0.002,0.002,115.0,0.9,0.945,216.0,420.8,42911
AROMATICS,78.79,a12-[14],0.002,0.001,0.001,71.0,0.9,0.945,216.0,420.8,42911
AROMATICS,79.03,"1,4-methyl-n-pentylbenzene",0.025,0.021,0.014,1049.0,0.89,0.945,0.0,32.0,42911
AROMATICS,79.345,n-hexylbenzene,0.004,0.003,0.002,171.0,0.89,0.945,0.0,32.0,42911
AROMATICS,79.53,a12-[23],0.021,0.017,0.012,883.0,0.9,0.945,216.0,420.8,42911
AROMATICS,79.65,a12-[24],0.007,0.006,0.004,291.0,0.9,0.945,216.0,420.8,42911
AROMATICS,80.007,a12-[28],0.005,0.004,0.003,219.0,0.9,0.945,216.0,420.8,42911
AROMATICS,80.072,a12-[29],0.005,0.004,0.003,194.0,0.9,0.945,216.0,420.8,42911
AROMATICS,80.13,"1,2,3,4,5-pentamethylbenzene",0.026,0.019,0.016,1111.0,1.0,0.942,232.0,449.6,42911
AROMATICS,80.517,2-methylnaphthalene,0.29,0.21,0.182,12776.0,1.02,0.903,244.6,472.28,42911
AROMATICS,80.62,a12-[32],0.002,0.002,0.001,98.0,0.9,0.945,216.0,420.8,42911
AROMATICS,81.053,1-methylnaphthalene,0.157,0.114,0.099,6905.0,1.02,0.903,244.64,472.352,42911
AROMATICS,81.383,a12-[39],0.008,0.007,0.005,351.0,0.9,0.945,216.0,420.8,42911
AROMATICS,81.447,a12-[40],0.003,0.002,0.002,120.0,0.9,0.945,216.0,420.8,42911
AROMATICS,81.702,a12-[43],0.003,0.003,0.002,146.0,0.9,0.945,216.0,420.8,42911
AROMATICS,81.937,a12-[46],0.003,0.003,0.002,142.0,0.9,0.945,216.0,420.8,42911
AROMATICS,82.177,a12-[48],0.004,0.003,0.002,151.0,0.9,0.945,216.0,420.8,42911
AROMATICS,82.552,a12-[53],0.002,0.002,0.001,86.0,0.9,0.945,216.0,420.8,42911
AROMATICS,82.83,a12-[56],0.003,0.002,0.002,119.0,0.9,0.945,216.0,420.8,42911
AROMATICS,82.942,biphenyl,0.008,0.005,0.004,317.0,1.04,0.945,218.0,424.4,42911
AROMATICS,83.117,a12-[58],0.002,0.002,0.001,101.0,0.9,0.945,216.0,420.8,42911
AROMATICS,83.498,ethylnaphthalene,0.026,0.019,0.015,1141.0,0.992,0.903,251.0,483.8,42911
AROMATICS,83.803,"2,6-dimethylnaphthalene",0.026,0.019,0.015,1123.0,1.016,0.903,262.0,503.6,42911
AROMATICS,83.85,"2,7-dimethylnaphthalene",0.026,0.019,0.015,1147.0,1.016,0.903,262.0,503.6,42911
AROMATICS,84.21,"1,7-dimethylnaphthalene",0.058,0.042,0.033,2537.0,1.016,0.903,262.0,503.6,42911
AROMATICS,84.312,"1,3-dimethylnaphthalene",0.03,0.022,0.017,1315.0,1.016,0.903,262.0,503.6,42911
AROMATICS,84.75,"1,6-dimethylnaphthalene",0.02,0.015,0.012,882.0,1.016,0.903,262.0,503.6,42911
AROMATICS,84.83,"2,3-dimethylnaphthalene",0.007,0.005,0.004,305.0,1.016,0.903,262.0,503.6,42911
AROMATICS,85.148,3-methylbiphenyl,0.016,0.011,0.008,689.0,1.04,0.903,262.0,503.6,42911
AROMATICS,85.693,4-methylbiphenyl,0.014,0.01,0.008,632.0,1.04,0.903,262.0,503.6,42911
AROMATICS,85.885,"1,2-dimethylnaphthalene",0.004,0.003,0.002,168.0,1.016,0.903,262.0,503.6,42911
AROMATICS,85.938,"1,8-dimethylnaphthalene",0.01,0.007,0.006,443.0,1.016,0.903,262.0,503.6,42911
AROMATICS,86.105,a13-[1],0.001,0.001,0.0,38.0,1.007,0.947,254.0,489.2,42911
AROMATICS,86.207,a13-[2],0.004,0.003,0.002,164.0,1.007,0.947,254.0,489.2,42911
AROMATICS,86.34,a13-[3],0.011,0.008,0.006,441.0,1.007,0.947,254.0,489.2,42911
AROMATICS,86.582,a13-[7],0.01,0.007,0.005,424.0,1.007,0.947,254.0,489.2,42911
AROMATICS,86.852,a13-[10],0.01,0.008,0.005,431.0,1.007,0.947,254.0,489.2,42911
AROMATICS,86.912,a13-[11],0.003,0.002,0.002,123.0,1.007,0.947,254.0,489.2,42911
AROMATICS,86.988,a13-[12],0.012,0.009,0.006,492.0,1.007,0.947,285.0,545.0,42911
AROMATICS,87.158,a13-[15],0.003,0.002,0.001,111.0,1.007,0.947,254.0,489.2,42911
AROMATICS,87.717,a13-[20],0.002,0.002,0.001,86.0,1.007,0.947,254.0,489.2,42911
AROMATICS,87.768,a13-[21],0.006,0.004,0.003,239.0,1.007,0.947,285.0,545.0,42911
AROMATICS,87.81,a13-[22],0.003,0.002,0.002,120.0,1.007,0.947,285.0,545.0,42911
AROMATICS,87.998,a13-[24],0.003,0.002,0.002,141.0,1.007,0.947,285.0,545.0,42911
AROMATICS,88.077,a13-[25],0.007,0.005,0.004,299.0,1.007,0.947,285.0,545.0,42911
AROMATICS,88.505,"1,4,5-trimethylnaphthalene",0.006,0.004,0.003,260.0,1.007,0.903,285.0,545.0,42911
AROMATICS,88.577,"2,3,6-trimethylnaphthalene",0.002,0.001,0.001,80.0,1.007,0.903,285.0,545.0,42911
AROMATICS,88.663,a13-[31],0.003,0.002,0.002,138.0,1.007,0.947,285.0,545.0,42911
AROMATICS,88.893,a13-[35],0.003,0.002,0.002,131.0,1.007,0.947,285.0,545.0,42911
AROMATICS,90.122,a13-[60],0.002,0.001,0.001,77.0,1.007,0.947,285.0,545.0,42911
NAPHTHENES,15.718,cyclopentane,0.064,0.063,0.082,2591.0,0.745,0.98,49.25,120.65,42911
NAPHTHENES,19.98,methylcyclopentane,0.61,0.603,0.652,24758.0,0.749,0.98,71.8,161.24,42911
NAPHTHENES,22.568,cyclohexane,0.167,0.159,0.179,6779.0,0.779,0.98,80.72,177.296,42911
NAPHTHENES,23.792,"1,1-dimethylcyclopentane",0.04,0.039,0.037,1618.0,0.754,0.98,87.48,189.464,42911
NAPHTHENES,24.808,"1c,3-dimethylcyclopentane",0.151,0.15,0.138,6132.0,0.745,0.98,90.77,195.386,42911
NAPHTHENES,25.082,"1t,3-dimethylcyclopentane",0.149,0.147,0.136,6026.0,0.749,0.98,91.72,197.096,42911
NAPHTHENES,25.353,"1t,2-dimethylcyclopentane",0.166,0.164,0.152,6741.0,0.751,0.98,91.87,197.366,42911
NAPHTHENES,28.265,"1c,2-dimethylcyclopentane",0.009,0.009,0.008,346.0,0.732,0.98,99.53,211.154,42911
NAPHTHENES,28.978,methylcyclohexane,0.383,0.368,0.351,15526.0,0.769,0.98,100.93,213.674,42911
NAPHTHENES,30.507,ethylcyclopentane,0.132,0.127,0.121,5345.0,0.766,0.98,103.47,218.246,42911
NAPHTHENES,31.683,"1c,2t,4-trimethylcyclopentane",0.032,0.031,0.026,1317.0,0.763,0.98,116.74,242.132,42911
NAPHTHENES,32.752,"1t,2c,3-trimethylcyclopentane",0.013,0.012,0.01,525.0,0.77,0.98,110.41,230.738,42911
NAPHTHENES,37.558,"1c,2t,3-trimethylcyclopentane",0.062,0.059,0.05,2510.0,0.77,0.98,117.5,243.5,42911
NAPHTHENES,40.123,2t-ethylmethylcyclopentane,0.016,0.016,0.013,657.0,0.769,0.98,121.2,250.16,42911
NAPHTHENES,40.742,"1,1-methylethylcyclopentane",0.013,0.013,0.011,542.0,0.781,0.98,121.53,250.754,42911
NAPHTHENES,41.36,"1t,2-dimethylcyclohexane",0.019,0.018,0.015,758.0,0.776,0.98,123.43,254.174,42911
NAPHTHENES,42.655,"1t,3-dimethylcyclohexane",0.004,0.004,0.003,176.0,0.776,0.98,123.43,254.174,42911
NAPHTHENES,42.97,"1c,4-dimethylcyclohexane",0.021,0.02,0.017,864.0,0.783,0.98,124.33,255.794,42911
NAPHTHENES,44.258,i-propylcyclopentane,0.044,0.042,0.035,1775.0,0.776,0.98,126.43,259.574,42911
NAPHTHENES,46.218,"1c,2-dimethylcyclohexane",0.213,0.197,0.17,8622.0,0.796,0.98,129.74,265.532,42911
NAPHTHENES,46.892,"1,1,4-trimethylcyclohexane",0.004,0.004,0.003,171.0,0.772,0.98,135.0,275.0,42911
NAPHTHENES,48.43,ethylcyclohexane,0.031,0.03,0.025,1269.0,0.784,0.98,131.79,269.222,42911
NAPHTHENES,48.562,n8-[7],0.004,0.004,0.003,167.0,0.78,0.98,130.0,266.0,42911
NAPHTHENES,48.725,n-propylcyclopentane,0.046,0.044,0.037,1886.0,0.776,0.98,130.96,267.728,42911
NAPHTHENES,49.912,"1,1,3-trimethylcyclohexane",0.015,0.014,0.011,604.0,0.787,0.98,146.59,295.862,42911
NAPHTHENES,50.072,n9-[0],0.004,0.004,0.003,180.0,0.78,0.98,0.0,32.0,42911
NAPHTHENES,50.478,n9-[1],0.006,0.006,0.004,238.0,0.78,0.98,0.0,32.0,42911
NAPHTHENES,51.49,"1c,2t,4t-trimethylcyclohexane",0.028,0.026,0.02,1129.0,0.78,0.98,0.0,32.0,42911
NAPHTHENES,53.918,"1c,2t,3c-trimethylcyclohexane",0.001,0.001,0.001,60.0,0.758,0.98,151.2,304.16,42911
NAPHTHENES,54.395,"1c,2t,4c-trimethylcyclohexane",0.014,0.013,0.01,548.0,0.772,0.98,135.0,275.0,42911
NAPHTHENES,55.473,n9-[4],0.173,0.164,0.123,7028.0,0.78,0.98,0.0,32.0,42911
NAPHTHENES,55.945,n9-[5],0.022,0.021,0.016,908.0,0.78,0.98,0.0,32.0,42911
NAPHTHENES,56.21,n9-[6],0.18,0.171,0.128,7307.0,0.78,0.98,0.0,32.0,42911
NAPHTHENES,56.643,i-butylcyclopentane,0.004,0.004,0.003,171.0,0.781,0.98,147.97,298.346,42911
NAPHTHENES,57.975,"1,1-methylethylcyclohexane",0.026,0.024,0.018,1051.0,0.806,0.98,152.18,305.924,42911
NAPHTHENES,58.283,n9-[10],0.006,0.006,0.005,259.0,0.79,0.98,0.0,32.0,42911
NAPHTHENES,58.957,n9-[12],0.013,0.012,0.009,535.0,0.79,0.98,0.0,32.0,42911
NAPHTHENES,59.035,n9-[13],0.01,0.009,0.007,394.0,0.79,0.98,0.0,32.0,42911
NAPHTHENES,59.243,i-propylcyclohexane,0.005,0.005,0.004,206.0,0.802,0.98,154.79,310.622,42911
NAPHTHENES,59.762,n9-[14],0.011,0.01,0.008,429.0,0.79,0.98,0.0,32.0,42911
NAPHTHENES,60.227,n-propylcyclohexane,0.039,0.036,0.028,1598.0,0.802,0.98,154.79,310.622,42911
NAPHTHENES,60.635,n-butylcyclopentane,0.086,0.081,0.061,3489.0,0.785,0.98,156.62,313.916,42911
NAPHTHENES,60.693,n10-[0],0.014,0.013,0.009,566.0,0.8,0.98,0.0,32.0,42911
NAPHTHENES,61.123,n9-[15],0.006,0.006,0.004,241.0,0.79,0.98,0.0,32.0,42911
NAPHTHENES,61.3,n10-[1],0.011,0.01,0.007,443.0,0.8,0.98,0.0,32.0,42911
NAPHTHENES,62.71,n10-[3],0.008,0.007,0.005,310.0,0.8,0.98,0.0,32.0,42911
NAPHTHENES,64.493,n10-[6],0.24,0.222,0.154,9731.0,0.8,0.98,0.0,32.0,42911
NAPHTHENES,65.152,i-butylcyclohexane,0.07,0.065,0.045,2843.0,0.796,0.98,171.3,340.34,42911
NAPHTHENES,65.855,1t-methyl-2-n-propylcyclohexane,0.119,0.11,0.076,4832.0,0.8,0.98,171.0,339.8,42911
NAPHTHENES,66.62,n10-[8],0.008,0.007,0.005,310.0,0.8,0.98,0.0,32.0,42911
NAPHTHENES,67.255,n11-[0],0.011,0.01,0.006,431.0,0.8,0.98,0.0,32.0,42911
NAPHTHENES,68.017,sec-butylcyclohexane,0.003,0.003,0.002,139.0,0.814,0.98,179.34,354.812,42911
NAPHTHENES,68.537,n-butylcyclohexane,0.013,0.012,0.009,540.0,0.814,0.98,179.0,354.2,42911
NAPHTHENES,68.647,n11-[1],0.005,0.005,0.003,205.0,0.8,0.98,0.0,32.0,42911
NAPHTHENES,70.083,t-decahydronaphthalene,0.028,0.026,0.016,1121.0,0.8,0.98,187.2,368.96,42911
NAPHTHENES,70.28,n11-[2],0.11,0.101,0.064,4443.0,0.8,0.98,0.0,32.0,42911
NAPHTHENES,74.763,n-pentylcyclohexane,0.095,0.08,0.056,4031.0,0.88,0.94,203.0,397.4,42911
NAPHTHENES,75.302,1t-m-2-(4-mp)cyclopentane,0.119,0.11,0.064,4839.0,0.8,0.98,0.0,32.0,42911
OLEFINS,7.452,t-butene-2,0.004,0.005,0.007,165.0,0.604,0.98,0.88,33.584,42911
OLEFINS,7.795,c-butene-2,0.006,0.007,0.009,232.0,0.621,0.98,3.72,38.696,42911
OLEFINS,8.563,o5-[0],0.0,0.001,0.001,18.0,0.63,0.98,0.0,32.0,42911
OLEFINS,8.788,3-methylbutene-1,0.01,0.012,0.013,399.0,0.627,0.98,20.05,68.09,42911
OLEFINS,10.218,pentene-1,0.043,0.049,0.055,1735.0,0.641,0.98,29.96,85.928,42911
OLEFINS,10.59,2-methylbutene-1,0.086,0.098,0.11,3491.0,0.65,0.98,31.15,88.07,42911
OLEFINS,11.322,t-pentene-2,0.141,0.161,0.181,5735.0,0.648,0.98,36.34,97.412,42911
OLEFINS,11.817,c-pentene-2,0.072,0.081,0.093,2927.0,0.656,0.98,36.93,98.474,42911
OLEFINS,12.147,2-methylbutene-2,0.211,0.235,0.27,8551.0,0.662,0.98,38.56,101.408,42911
OLEFINS,12.273,"1t,3-pentadiene",0.0,0.0,0.001,17.0,0.676,0.952,42.02,107.636,42911
OLEFINS,14.808,cyclopentene,0.028,0.027,0.037,1178.0,0.772,0.952,44.23,111.614,42911
OLEFINS,15.275,4-methylpentene-1,0.004,0.005,0.005,176.0,0.667,0.98,53.86,128.948,42911
OLEFINS,15.357,3-methylpentene-1,0.012,0.013,0.013,486.0,0.664,0.98,54.17,129.506,42911
OLEFINS,16.028,4-methyl-c-pentene-2,0.01,0.011,0.011,417.0,0.674,0.98,56.38,133.484,42911
